title,genres,popularity,vote_average
Riff-Raff,"Comedy, Drama",1.5,6.4
State of Grace,"Drama, Action, Thriller, Crime",9.41,6.5
Auntie Danielle,"Comedy, Drama",2.47,6.5
Time to Kill,"War, Drama",0.19,5.8
"Welcome Home, Roxy Carmichael","Drama, Comedy",2.94,6.2
35 Up,"Documentary, Foreign",0.93,7.7
Days of Being Wild,"Crime, Drama, Romance",6.24,7.3
Across the Tracks,Drama,1.44,5.5
Begotten,"Fantasy, Horror",2.59,5.0
Life on a String,"Drama, Foreign",0.07,7.0
Cadence,Drama,5.45,6.4
Closet Land,Drama,1.46,6.6
Delusion,Crime,0.16,4.8
Dollman,"Action, Comedy, Crime, Science Fiction",1.83,5.5
Dutch,Comedy,8.24,6.4
Guilty by Suspicion,"Drama, Thriller",2.46,5.9
Hearts of Darkness: A Filmmaker's Apocalypse,Documentary,4.62,8.0
High Strung,Comedy,3.02,5.4
Homicide,"Drama, Crime",7.57,5.9
Johnny Stecchino,Comedy,10.16,7.4
A Kiss Before Dying,"Mystery, Thriller, Crime",6.07,5.6
Riki-Oh: The Story of Ricky,"Comedy, Action, Thriller",4.29,6.8
Light Sleeper,"Drama, Crime",7.47,5.7
The Linguini Incident,"Comedy, Crime",0.07,8.0
Mannequin Two: On the Move,"Fantasy, Comedy, Science Fiction, Romance",2.63,4.6
Only Yesterday,"Animation, Drama, Romance",10.83,7.0
Once Around,"Comedy, Drama, Romance",0.87,5.8
Other People's Money,"Comedy, Drama",2.13,6.1
Out for Justice,"Action, Thriller, Crime",6.89,5.9
Prospero's Books,"Drama, Fantasy",1.57,6.5
Quigley Down Under,"Romance, Action, Adventure, Western, Drama",12.62,6.5
Rubin and Ed,"Drama, Comedy",0.52,7.0
Shout,"Drama, Romance",1.39,5.0
Stinsen brinner... filmen alltså,,0.07,5.8
Stone Cold,"Action, Crime, Thriller",4.17,5.6
Strangers in Good Company,Drama,0.0,7.0
Surviving Desire,"Comedy, Drama, Romance",0.31,7.2
All the Mornings of the World,"Drama, Romance, History",1.86,6.3
Assassin of the Tsar,"History, Drama",0.54,6.3
Wild Hearts Can't Be Broken,"Drama, Family",6.25,7.4
Prime Suspect 2,"Drama, Crime, TV Movie",1.87,7.2
Aileen Wuornos: The Selling of a Serial Killer,"Documentary, Foreign",1.14,7.1
Barbarian Queen II: The Empress Strikes Back,"Action, Adventure, Fantasy",1.36,3.2
Captain America,"Action, Science Fiction, War",11.23,4.5
City Hunter,"Action, Adventure, Comedy, Romance",8.09,6.3
The Oak,"Comedy, Drama",0.52,5.9
Citizen Cohn,Drama,0.21,7.3
Crossing The Bridge,Drama,1.23,6.5
Diggstown,"Action, Comedy, Drama",3.62,6.5
Innocent Blood,"Comedy, Horror, Thriller, Crime",4.05,6.2
Johnny Suede,"Comedy, Romance",2.01,4.8
Porco Rosso,"Comedy, Animation, Adventure",8.08,7.6
The Stolen Children,Drama,1.23,7.1
LadyBugs,"Comedy, Family",2.39,5.3
The Mambo Kings,"Drama, Music",4.71,5.9
Night and the City,"Thriller, Comedy, Crime, Drama",2.85,5.2
The Story of Qiu Ju,"Comedy, Drama",2.06,7.2
Shining Through,"Drama, Romance, Thriller",5.86,6.2
Sidekicks,"Action, Adventure, Drama, Family",2.49,4.9
Tito and Me,Comedy,0.45,7.5
A Heart in Winter,"Drama, Romance",2.32,7.5
Visions of Light,Documentary,0.02,7.0
New Dragon Gate Inn,Action,3.68,7.4
Life and Nothing More...,"Adventure, Drama",1.18,6.9
House of Angels,Comedy,1.44,5.3
Return to Lonesome Dove,"Drama, Western",0.78,6.4
American Ninja 5,"Action, Thriller",1.32,4.1
The Baby of Mâcon,"Drama, History",4.47,7.3
Bad Boy Bubby,"Crime, Drama",10.52,7.1
The Bride with White Hair,"Adventure, Fantasy, Drama, Action, Science Fiction",3.64,6.2
Barbarians at the Gate,"Comedy, Drama",1.69,6.8
Calendar,"Comedy, Drama, Romance",0.73,6.9
Cyborg 2,"Action, Adventure, Science Fiction",4.46,3.9
Deadly Advice,,0.06,0.0
The Legend II,"Adventure, Action, Comedy, Foreign",2.65,6.4
Fortress,"Action, Thriller, Science Fiction",5.97,5.7
The Puppetmaster,"Mystery, Drama, War",0.1,6.6
Josh and S.A.M.,"Adventure, Action, Comedy",0.77,5.0
Latcho Drom,"Music, Documentary",1.03,6.3
Leningrad Cowboys Meet Moses,"Adventure, Comedy, Music",0.55,6.1
Mr. Nanny,"Family, Comedy, Action",3.91,4.8
The Night We Never Met,"Romance, Comedy, Drama",1.13,5.6
Philadelphia Experiment II,Science Fiction,1.16,5.0
The Positively True Adventures of the Alleged Texas Cheerleader Murdering Mom,"Comedy, Drama",0.78,6.7
The Snapper,"Comedy, Drama",1.14,6.3
Sonatine,"Action, Crime, Thriller",5.17,7.3
Splitting Heirs,Comedy,3.27,4.6
Tai-Chi Master,"Action, Comedy, Drama, Thriller",3.19,7.0
Three of Hearts,"Comedy, Drama, Romance",4.69,3.9
The Stand,"Adventure, Drama, Fantasy, Horror",10.37,6.7
71 Fragments of a Chronology of Chance,Drama,2.45,7.0
Naked Killer,"Action, Crime, Romance",2.06,5.7
Dark Angel: The Ascent,"Horror, Romance",0.31,4.7
Darkman II: The Return of Durant,"Action, Adventure, Science Fiction, Thriller",4.37,4.5
Embrace of the Vampire,"Horror, Thriller",4.54,5.0
Felidae,"Animation, Mystery, Thriller",2.23,6.3
Floundering,"Comedy, Romance",0.46,5.6
Freaked,Comedy,3.26,6.0
Golden Gate,"Crime, Drama",0.17,2.5
Fist of Legend,Action,5.99,7.4
Paperback Romance,"Romance, Comedy",0.12,6.5
Macross Plus: Movie Edition,"Action, Adventure, Animation, Science Fiction",2.68,7.2
Major League II,Comedy,7.99,5.2
My Father the Hero,"Comedy, Family, Romance",2.46,5.1
"Take Care of Your Scarf, Tatiana","Comedy, Romance",0.47,7.2
Pumpkinhead II: Blood Wings,Horror,2.14,4.6
A Pure Formality,"Crime, Thriller",4.62,7.7
Staggered,"Comedy, Foreign",0.79,5.5
The Defender,"Drama, Action, Thriller",2.83,6.5
The Langoliers,"Drama, Horror, Science Fiction, Mystery, Thriller",12.22,6.0
Blood & Donuts,"Horror, Action, Comedy",0.75,5.0
Gonin,"Action, Crime, Foreign, Thriller",1.51,7.2
Kivenpyörittäjän kylä,,0.16,6.7
Last of the Dogmen,"Adventure, Mystery, Thriller, Western",3.21,7.2
Whisper of the Heart,"Animation, Drama, Family",10.55,7.7
The Passion of Darkly Noon,"Mystery, Drama, Thriller",1.04,6.1
High Risk,"Action, Comedy",5.38,5.6
Street Fighter II: The Animated Movie,"Animation, Action",6.88,6.7
Trinity And Beyond: The Atomic Bomb Movie,Documentary,2.31,6.9
Tromeo & Juliet,"Comedy, Drama, Romance, Thriller",5.7,6.0
Cannibal! The Musical,"Comedy, History, Horror",6.61,6.8
A Summer's Tale,"Comedy, Drama, Romance",2.21,7.0
Fetishes,Documentary,0.9,5.1
The God of Cookery,Comedy,1.88,7.0
Jack Frost,"Fantasy, Horror, Comedy",5.76,5.3
The Hunters,"Thriller, Crime, Mystery",2.31,6.5
Drifting Clouds,Drama,4.29,7.1
The Late Shift,"Comedy, Drama",1.91,5.8
"Pretty Village, Pretty Flame","Drama, War",2.25,8.0
My Man,"Comedy, Drama, Romance",1.26,6.6
No Way Back,"Action, Crime, Thriller",7.53,5.0
No Way Home,Drama,0.57,7.6
Pusher,"Action, Crime, Drama, Thriller",6.16,6.8
Robinson Crusoe,"Action, Adventure, Drama",8.74,5.7
Freakin' Beautiful World,Drama,0.38,7.0
Sgt. Kabukiman N.Y.P.D.,"Action, Comedy, Fantasy",1.2,6.1
Earth,"Drama, Romance, Science Fiction",1.5,7.4
Emma,"TV Movie, Comedy, Drama, Romance",7.04,6.7
American Perfekt,"Action, Thriller",0.04,5.0
Bikini Summer III: South Beach Heat,Comedy,0.07,1.5
The Boxer,"Drama, Romance",3.0,6.7
The Brave,Drama,8.27,5.7
Cremaster 5,Drama,0.88,6.2
Executive Target,"Action, Thriller",1.09,6.0
Face,"Crime, Drama, Thriller",2.14,6.0
Snow White: A Tale of Terror,"Fantasy, Horror",4.58,6.0
Gummo,Drama,5.15,6.5
Hamilton,"Action, Thriller",2.53,6.0
Chicago Cab,"Comedy, Drama",0.71,5.7
Kiss or Kill,"Crime, Drama",0.29,4.2
Destiny,"Drama, History",0.4,6.9
Mean Guns,"Action, Adventure, Crime, Thriller",9.34,5.8
Men with Guns,"Action, Drama, Foreign, Thriller",0.41,6.3
Nirvana,"Thriller, Fantasy, Science Fiction",3.38,6.6
Dance with the Devil,"Action, Thriller",2.92,6.2
Photographing Fairies,"Mystery, Fantasy, Drama",0.91,5.2
Postman Blues,"Crime, Drama, Action",0.67,6.6
Quicksilver Highway,"Horror, Thriller",2.5,4.5
The Swindle,"Comedy, Crime, Thriller",0.76,6.4
Safe House,Thriller,1.11,5.9
"Sick: The Life and Death of Bob Flanagan, Supermasochist",Documentary,0.49,5.9
The Lion King 2: Simba's Pride,"Animation, Family, Adventure",9.42,6.7
Wishful Thinking,"Comedy, Romance",0.33,5.5
From the Earth to the Moon,"Documentary, Drama",3.22,8.4
Beowulf,"Action, Science Fiction, Thriller, Adventure, Horror, Fantasy",7.75,4.4
From Dusk Till Dawn 3: The Hangman's Daughter,"Western, Horror, Thriller",4.84,4.6
The Interview,Drama,2.88,6.8
RKO 281,"History, Drama",5.17,6.3
From Dusk Till Dawn 2: Texas Blood Money,"Crime, Action, Horror, Thriller",13.78,4.4
"Torrente, the Dumb Arm of the Law","Comedy, Crime",3.81,6.2
Koko Flanel,"Comedy, Romance",0.02,5.7
Bruno,"Comedy, Drama",0.37,7.4
Dead Man's Curve,"Drama, Horror, Mystery, Thriller",1.75,5.1
Fudoh: The New Generation,"Action, Thriller, Crime, Foreign",1.65,6.9
Gia,"Drama, Romance",9.63,6.7
Thursday,"Drama, Action, Crime, Thriller",4.31,7.0
Sophie's World,"Fantasy, Drama, Family",2.32,5.5
Wavelength,Documentary,1.46,6.1
Who Am I?,"Adventure, Action, Comedy, Thriller",8.91,6.6
The Kingdom II,"Horror, Mystery",0.55,6.7
Merlin,"Adventure, Drama, Fantasy",9.31,6.0
Rogue Trader,Drama,3.28,6.0
Breast Men,"TV Movie, Drama, Comedy",8.19,5.0
A Murder of Crows,"Action, Crime, Thriller",9.28,6.0
"Bang, Boom, Bang","Crime, Action, Comedy",3.93,7.5
Batman & Mr. Freeze: SubZero,"Animation, Action, Crime",4.58,6.9
The Pentagon Wars,"Comedy, Drama, War",2.23,6.8
A Place Called Chiapas,Documentary,0.18,6.9
Two Hands,"Comedy, Crime, Thriller",9.29,6.4
Brave New World,"Science Fiction, TV Movie",2.61,6.5
Addams Family Reunion,"Comedy, Family, Fantasy, Thriller, TV Movie",8.0,3.9
Thick as Thieves,"Drama, Action, Comedy, Crime",1.25,5.3
Set Me Free,"Drama, Romance",0.44,6.7
Claire Dolan,Drama,1.23,6.0
Jigoku,"Horror, Drama",1.61,5.8
The Smashing Pumpkins: Vieuphoria,"Documentary, Music",0.0,0.0
The Class Trip,"Mystery, Drama",0.47,6.0
Flowers of Shanghai,Drama,1.41,7.5
The Hole,"Drama, Fantasy, Romance",0.58,7.2
Of Freaks and Men,"Comedy, Drama",0.56,5.9
Das merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit,Comedy,0.76,6.3
Purgatory,"Fantasy, Action, Western, Science Fiction",0.68,4.4
Juha,"Romance, Comedy, Drama",0.7,6.8
Lady Snowblood,"Action, Drama, Thriller",7.23,7.8
The Tough Ones,"Drama, Action",0.56,6.8
Takedown,"Action, Thriller",4.42,6.3
Bleeder,"Drama, Horror, Thriller",3.0,7.1
Dil Se..,"Drama, Romance",1.89,6.7
The Bodyguard,"Action, Thriller",0.12,3.7
Vidocq,"Fantasy, Action, Thriller, Crime, Science Fiction, Mystery",11.2,5.8
Molokai: The Story of Father Damien,"Drama, Foreign",0.21,3.8
Candyman: Day of the Dead,"Fantasy, Horror",8.26,3.6
The 4th Floor,"Horror, Mystery, Thriller",1.74,5.7
A Long Hot Summer,"Music, Comedy",0.26,6.1
The Batman Superman Movie: World's Finest,"Action, Animation",4.03,7.1
The End of Evangelion,"Animation, Drama, Science Fiction",6.23,8.1
The Life of Aleksis Kivi,,0.15,7.0
He Died with a Felafel in His Hand,Comedy,1.31,6.9
Kuch Kuch Hota Hai,"Drama, Romance",6.44,7.5
Document of the Dead,Documentary,0.78,7.8
Venus Beauty Institute,"Comedy, Drama, Romance",2.73,5.4
Cherry Falls,"Mystery, Horror, Thriller",4.58,4.7
Freeway II: Confessions of a Trickbaby,"Comedy, Crime, Drama",0.55,6.0
Joseph and the Amazing Technicolor Dreamcoat,Music,2.97,6.1
Style Wars,"Music, Documentary, TV Movie",0.87,8.1
In July,"Adventure, Comedy, Romance",7.2,7.5
Joan of Arc,"Drama, History",2.05,6.7
Kirikou and the Sorceress,"Fantasy, Adventure, Animation, Family",5.64,7.2
After the Rain,Drama,1.27,7.3
The Prophecy 3: The Ascent,"Fantasy, Horror, Thriller",7.37,5.5
Taxi 2,"Action, Comedy, Crime",6.41,6.1
Pups,"Thriller, Action, Drama, Crime",0.8,6.6
Peculiarities of the National Fishing,Comedy,1.74,6.8
Cut,"Comedy, Foreign, Horror, Thriller",1.14,4.5
Kadosh,"Drama, Romance, Foreign",0.19,6.1
Essex Boys,"Crime, Thriller",6.51,5.7
Picking Up the Pieces,"Comedy, Thriller, Mystery",1.86,4.1
Badding,,0.14,5.0
The Wedding Waltz,"Drama, Comedy",0.12,7.7
Meeting People Is Easy,"Music, Documentary",2.03,7.2
Cruel Intentions 2,"Drama, Romance, Thriller",4.33,4.4
Adrenaline Drive,"Comedy, Crime, Romance, Foreign",0.22,7.3
Humanité,Drama,1.09,6.7
Beautiful Joe,"Drama, Action, Comedy, Thriller, Romance",1.5,5.5
The Underground Comedy Movie,Comedy,0.49,2.1
The Shrink Is In,"Comedy, Romance",0.8,5.8
Charisma,"Drama, Thriller",0.38,5.8
Guest House Paradiso,Comedy,3.15,6.3
Swimming,Drama,0.27,5.5
If These Walls Could Talk 2,"Romance, Drama",2.87,6.3
The Trumpet Of The Swan,"Animation, Family",0.85,5.1
The 10th Kingdom,"Adventure, Comedy, Family, Fantasy, Mystery, Romance",3.74,7.5
An Extremely Goofy Movie,"Animation, Family, Comedy",10.37,6.0
The Wind Will Carry Us,Drama,1.3,6.9
Water Drops on Burning Rocks,"Drama, Romance",2.7,6.8
The Tracker,"Western, Drama, Foreign, History",1.24,6.6
2046,"Fantasy, Drama, Science Fiction, Romance",7.16,6.9
Bruiser,"Mystery, Horror",3.14,5.4
Taboo,"Drama, Horror, Thriller, Mystery",0.98,2.9
Crane World,"Drama, Foreign",0.23,6.7
Cremaster 2,Drama,0.7,5.8
Running Out of Time,"Drama, Action, Thriller, Crime",4.08,7.5
The Wog Boy,Comedy,0.53,6.2
Century of the Dragon,Thriller,0.79,8.0
Chasing Sleep,"Horror, Mystery, Thriller",1.8,6.4
The Stepdaughter,Horror,0.94,4.7
Possible Worlds,"Mystery, Science Fiction, Drama",0.81,5.8
The Nameless,"Horror, Thriller",2.56,4.9
The Debt,"Drama, Thriller, Crime, Foreign",0.32,6.5
Female Prisoner #701: Scorpion,Crime,2.66,7.3
Female Prisoner Scorpion: Jailhouse 41,"Action, Crime, Drama, Thriller",1.02,7.5
Bartleby,"Comedy, Drama",1.22,5.3
Night of the Day of the Dawn of the Son of the Bride Part 2: In Shocking 2-D,,0.02,5.3
Restless,Romance,1.74,5.2
Shiner,"Drama, Action, Crime",3.31,5.1
Batman Beyond: Return of the Joker,"Animation, Family",7.87,7.5
Roberto Succo,Drama,0.23,6.1
Suzhou River,"Drama, Foreign, Romance",1.45,6.3
6ixtynin9,"Comedy, Crime, Thriller",0.95,7.0
Audition,"Mystery, Drama, Horror, Thriller",12.8,6.8
The Nine Lives of Tomas Katz,"Comedy, Drama, Fantasy, Mystery",1.17,7.7
For Love or Country: The Arturo Sandoval Story,"Documentary, Drama",0.64,6.3
Paragraph 175,"History, Documentary",1.1,4.2
Devdas,"Drama, Romance",4.64,7.4
Mimic 2,"Horror, Science Fiction, Thriller",4.89,4.8
Monday,"Comedy, Crime, Action, Thriller",1.09,7.5
Paradise Lost 2: Revelations,Documentary,1.66,7.2
Dark Prince: The True Story of Dracula,Horror,1.82,6.2
Sound and Fury,Documentary,0.25,5.4
The Hole,"Crime, Drama, Horror, Thriller",4.41,6.4
The Sleeping Dictionary,"Drama, Romance",8.28,6.3
When Strangers Appear,"Action, Drama, Mystery, Thriller",1.01,5.5
Revolutionary Girl Utena: The Movie,"Animation, Fantasy, Action",2.7,7.3
Speaking of Sex,"Comedy, Romance",3.87,5.9
Good Advice,"Comedy, Romance",2.7,5.7
Needing You...,"Drama, Comedy, Romance, Foreign",1.08,5.7
The Mists of Avalon,"Drama, Fantasy",9.59,6.4
Spiral,"Mystery, Fantasy, Horror",3.38,6.0
The Big Animal,,0.23,7.6
Old Men in New Cars: In China They Eat Dogs II,"Action, Comedy, Crime, Thriller",4.0,6.9
Purely Belter,"Comedy, Drama",0.53,7.0
The Quickie,"Drama, Crime",1.43,4.3
Kabhi Khushi Kabhie Gham,"Comedy, Drama",6.52,7.6
The River,"Drama, Romance",0.07,7.0
Werckmeister Harmonies,Drama,7.97,7.4
Asterix & Obelix: Mission Cleopatra,"Family, Fantasy, Comedy, Adventure",11.12,7.2
Is It Fall Yet?,"Animation, Comedy",1.15,7.5
Late Night Shopping,"Comedy, Romance",1.45,6.3
Uprising,"TV Movie, Drama, History, War",7.96,6.3
61*,"Drama, History",2.08,6.3
The Tunnel,"Drama, Thriller",2.58,6.9
Long Time Dead,"Horror, Thriller",1.82,4.5
The Laramie Project,"Crime, Drama",2.26,6.0
Run Ronnie Run,Comedy,2.47,5.7
Gojoe: Spirit War Chronicle,"Action, History",1.45,6.7
A Gentleman's Game,Drama,0.33,4.2
Joint Security Area,"War, Drama, Thriller",10.19,7.7
Dagon,"Fantasy, Horror, Thriller",6.0,6.4
Ripley's Game,"Crime, Thriller",7.74,6.6
Conspiracy,"Drama, History",4.63,6.9
Freeze Me,"Drama, Foreign, Horror, Thriller",0.37,5.5
The Best Man's Wedding,"Comedy, Drama",5.11,5.9
Teknolust,"Comedy, Drama, Romance",0.53,4.8
A Dog's Will,"Adventure, Comedy, Drama",23.95,8.2
The Accidental Spy,"Action, Comedy, Thriller",3.14,5.9
The Adversary,"Mystery, Drama, Crime",2.06,7.2
The Beautiful Country,Drama,1.05,6.3
Darkness,Horror,5.98,5.6
Mockingbird Don't Sing,Drama,0.81,6.1
Blood: The Last Vampire,"Fantasy, Animation, Horror, Comedy, Thriller, Science Fiction",2.93,6.6
Vacuuming Completely Nude in Paradise,"Comedy, Drama, Foreign",0.8,5.0
Avenging Angelo,"Action, Comedy, Crime",4.8,5.0
Southern Comfort,"Documentary, Romance",0.31,7.8
Berlin is in Germany,"Comedy, Drama",0.22,6.3
Blueberry,Western,7.89,5.0
Electric Dragon 80.000 V,"Fantasy, Drama, Science Fiction, Thriller",2.24,6.1
The Nugget,"Comedy, Foreign",0.12,6.5
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","Adventure, Action, Drama, Fantasy",1.75,6.2
Shackleton's Antarctic Adventure,Documentary,0.51,5.9
The Barber,Horror,0.59,4.7
Dirty Deeds,"Crime, Comedy, Drama, Thriller",0.95,6.3
Miranda,"Comedy, Drama, Romance, Thriller",0.87,6.4
My Little Eye,"Horror, Thriller",4.05,5.8
Kung Phooey,"Action, Comedy",0.41,7.0
Stranded,"Thriller, Drama, Science Fiction",1.44,5.8
Millennium Mambo,Drama,3.04,7.2
Martin & Orloff,Comedy,0.84,6.0
American Psycho 2: All American Girl,"Horror, Thriller",4.97,4.6
Double Vision,"Horror, Action, Thriller, Mystery, Foreign",1.46,6.2
Soft Shell Man,"Drama, Romance",0.12,7.0
Samouraïs,"Action, Science Fiction",1.94,2.6
Ali G Indahouse,Comedy,13.99,6.0
Black Plague,Thriller,0.9,5.8
Dead or Alive 2: Birds,"Crime, Drama, Thriller",1.15,6.8
Cube²: Hypercube,"Thriller, Science Fiction, Mystery",15.32,5.4
"Milwaukee, Minnesota","Comedy, Drama",0.66,4.3
Pistol Opera,"Drama, Action, Thriller, Crime, Foreign",1.18,6.4
Secret Passage,Drama,0.48,3.0
Stark Raving Mad,"Action, Comedy, Crime",1.43,6.2
Pulse,"Horror, Thriller",4.12,6.1
Killing Emmett Young,"Action, Crime, Drama, Mystery, Thriller",1.74,6.3
The Lost Battalion,"History, Drama, War",2.95,6.0
Hukkle,"Crime, Drama, Foreign, Mystery",0.66,6.6
Carolina,"Comedy, Romance",2.54,5.5
Charms For the Easy Life,Drama,0.01,0.0
Dog Days,Drama,8.68,6.7
Balzac and the Little Chinese Seamstress,"Drama, Foreign",1.08,6.9
Dil Chahta Hai,"Drama, Romance",4.56,7.1
My Sassy Girl,"Drama, Comedy, Romance",5.98,7.3
The Gathering,"Horror, Thriller",3.97,5.1
Shot in the Heart,Drama,0.5,6.4
Deadline,"Drama, Thriller",0.6,5.4
My Wife Is a Gangster,"Action, Comedy",1.79,6.1
Nothing,"Comedy, Fantasy, Science Fiction",7.12,5.8
Undertaking Betty,"Comedy, Romance",4.0,6.2
Waterboys,Comedy,2.49,6.0
Absolon,Action,4.11,4.3
Dead or Alive: Final,"Action, Comedy, Family, Foreign, Science Fiction",0.9,5.3
Hell House,Documentary,0.46,6.8
Fubar,"Comedy, Music",1.31,5.9
The Happiness of the Katakuris,"Horror, Comedy, Drama",1.87,7.3
Sex Is Comedy,"Comedy, Drama",1.56,6.1
The Rage in Placid Lake,"Family, Comedy",1.03,6.7
Stratosphere Girl,"Drama, Foreign, Mystery, Thriller",1.33,5.3
My Mother Likes Women,"Drama, Comedy, Foreign",1.07,6.1
Dead End,"Mystery, Horror, Thriller",5.33,6.6
Pure,Drama,5.68,6.6
Sympathy for Mr. Vengeance,"Action, Drama, Thriller",6.31,7.3
Jesus Christ Vampire Hunter,"Action, Comedy, Horror",0.84,3.9
Chinese Odyssey 2002,"Action, Comedy, Romance",0.96,7.3
The Foreigner,"Action, Thriller",4.27,3.7
The Man of the Year,"Drama, Crime",0.69,5.8
Suicide Club,"Drama, Horror, Thriller",8.28,6.4
The Third Wave,"Action, Thriller",1.8,6.2
Immortal,"Drama, Action, Science Fiction",9.79,5.8
Tiptoes,"Comedy, Drama, Romance",9.31,4.7
A Sound of Thunder,"Thriller, Science Fiction, Adventure, Action",4.98,4.8
The Lion King 1½,"Animation, Comedy, Family",8.93,6.3
Fear and Trembling,"Drama, Comedy, Foreign",1.69,6.4
Live from Baghdad,"Drama, Thriller",2.55,6.7
Planta 4ª,"Family, Comedy, Drama",0.69,7.1
Oasis,"Drama, Romance",2.93,7.8
Cremaster 3,Drama,0.81,6.8
Herr Lehmann,"Comedy, Drama",5.35,6.9
Twin Sisters,"Romance, Drama, History",1.22,6.8
My House in Umbria,"Drama, Mystery",2.73,5.6
Upswing,Comedy,1.41,6.7
Out for a Kill,"Action, Thriller",3.98,4.2
Bad Boys,"Action, Drama, Comedy",2.72,5.8
"Remember Me, My Love","Drama, Comedy, Romance",5.0,5.8
Soldier's Girl,"Drama, Romance, Crime",2.96,6.9
Tipping the Velvet,"Drama, Romance",2.43,7.3
Bright Young Things,Comedy,2.47,6.1
Resurrection of The Little Match Girl,"Action, Comedy, Science Fiction",0.23,5.3
Alien Hunter,Science Fiction,3.08,4.7
Love Object,"Comedy, Drama, Horror, Romance, Thriller",2.62,5.8
The Animatrix,"Animation, Science Fiction",10.93,6.9
The Brown Bunny,Drama,4.74,5.5
Ju-on: The Curse,Horror,3.33,7.0
Ju-on: The Curse 2,Horror,2.25,5.9
Elina: As If I Wasn't There,"Drama, Family",0.22,6.0
11:14,"Crime, Drama, Thriller",14.45,6.8
Alive,"Action, Drama, Science Fiction, Thriller, Horror",1.88,6.2
Springtime in a Small Town,"Drama, Romance",0.8,6.2
Tremors 4: The Legend Begins,"Action, Comedy, Horror, Western",10.0,5.4
Wondrous Oblivion,"Drama, Foreign",0.34,0.0
Bring It On Again,Comedy,0.38,5.3
Crimson Rivers II: Angels of the Apocalypse,"Action, Thriller, Crime",9.26,6.0
And Starring Pancho Villa as Himself,"Drama, History, War, Western",1.13,5.2
Nicotina,"Drama, Action, Comedy, Thriller",5.0,6.2
Iron Jawed Angels,Drama,9.77,6.7
Evil,Drama,8.9,6.9
Sniper 2,Action,3.44,5.4
High Roller: The Stu Ungar Story,"Drama, Action",0.89,10.0
Battle Royale II: Requiem,"Action, Thriller",7.5,4.9
In Hell,"Action, Drama, Thriller",5.26,5.6
Lemony Snicket's A Series of Unfortunate Events,"Adventure, Comedy, Family",12.82,6.7
Naked Weapon,"Action, Drama, Thriller",1.69,5.8
Bukowski - Born into This,Documentary,1.21,7.9
The Green Butchers,Comedy,6.44,7.4
Pearls and Pigs,Comedy,0.48,6.1
An Injury to One,Documentary,0.04,7.0
Addiction - When Nothing Is Enough,"Drama, Romance",3.1,4.1
A Very Long Engagement,Drama,10.9,7.1
Last Life in the Universe,"Drama, Action, Thriller",6.7,7.3
The Galíndez File,Thriller,0.9,5.5
Head-On,"Drama, Romance",10.23,7.3
Ghost in the Shell 2: Innocence,"Animation, Drama, Science Fiction",9.38,7.3
Kal Ho Naa Ho,"Comedy, Drama",5.58,7.3
The Cat Returns,"Adventure, Fantasy, Animation, Drama, Family",11.64,7.2
In My Country,"Romance, Drama",1.14,7.1
Unstoppable,"Action, Drama, Thriller",2.33,4.9
Take My Eyes,Drama,5.56,6.9
The Cathedral,"Science Fiction, Animation",0.9,7.4
Blind Shaft,"Drama, Thriller",1.34,7.6
The Twilight Samurai,"Action, Drama, Romance",4.28,7.5
The Twins Effect,"Action, Comedy, Horror",9.53,5.5
Far Side of the Moon,"Drama, Comedy",0.9,7.4
Facing Windows,"Drama, Romance",3.7,7.0
Ginger Snaps 2: Unleashed,"Drama, Horror",3.52,6.2
Salem's Lot,"Horror, Drama, Mystery, Thriller",14.1,5.5
Dark Woods,"Adventure, Horror, Mystery, Thriller",2.34,5.9
Foolproof,Action,7.47,6.3
Belly of the Beast,"Action, Thriller",8.32,4.8
"Easy Riders, Raging Bulls",Documentary,6.27,7.3
The Book of Fate,"Action, Horror, Science Fiction",0.2,3.5
When the Last Sword Is Drawn,"Action, Drama, History",2.53,7.5
Comic Book: The Movie,"Action, Comedy, Thriller",0.59,6.0
2LDK,"Comedy, Drama, Horror, Thriller",0.72,7.1
Trauma,"Drama, Mystery, Thriller, Horror",5.22,5.2
Intimate Strangers,"Drama, Romance",6.91,5.8
Down to the Bone,"Drama, Romance",1.33,6.5
A Talking Picture,"War, Comedy, Drama, History",0.5,7.4
Ju-on: The Grudge,Horror,7.61,6.7
Oldboy,"Drama, Thriller, Mystery, Action",10.62,8.0
Red Lights,"Thriller, Mystery, Crime",1.24,5.3
GhostWatcher,"Horror, Mystery, Science Fiction",0.17,4.0
Ginger Snaps Back: The Beginning,"Drama, Horror",2.52,6.0
Moon Child,"Horror, Action, Thriller, Science Fiction, Foreign",0.57,5.6
Illusive Tracks,"Comedy, Thriller",0.78,5.5
The Black Lapp,"Comedy, Foreign, Crime, Drama",1.1,5.5
Lost Embrace,"Drama, Foreign",0.78,5.9
One Missed Call,"Horror, Thriller",6.7,5.8
Goldfish Memory,"Comedy, Drama, Romance",1.18,6.2
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,"Action, Animation, Adventure, Fantasy",1.24,6.6
The Jacket,"Drama, Mystery, Thriller, Fantasy",12.09,6.8
Millions,"Comedy, Crime, Drama",4.67,6.3
