director,title,release_date,budget,revenue,return
Rob Reiner,When Harry Met Sally...,1989-07-21,16000000,92823546.0,5.8
Keoni Waxman,I Shot a Man in Vegas,1996-10-18,0,0.0,0.0
John G. Young,Parallel Sons,1995-01-01,0,0.0,0.0
Doug Pray,Hype!,1996-11-08,0,0.0,0.0
John Murlowski,Santa with Muscles,1996-11-08,0,0.0,0.0
Susan Streitfeld,Female Perversions,1996-01-22,0,0.0,0.0
Larry Bishop,Mad Dog Time,1996-11-08,0,0.0,0.0
Jon Sherman,Breathing Room,1996-11-08,0,0.0,0.0
Greta Schiller,Paris Was a Woman,1996-02-19,0,0.0,0.0
Herb Gardner,I'm Not Rappaport,1996-12-24,0,0.0,0.0
Carl Prechezer,Blue Juice,1995-09-15,0,0.0,0.0
David Fincher,Alien³,1992-05-22,50000000,159773545.0,3.2
John Landis,An American Werewolf in London,1981-08-21,10000000,31973249.0,3.2
Tony Randel,Amityville: It's About Time,1992-07-16,0,0.0,0.0
Richard Fleischer,Amityville 3-D,1983-11-18,0,6333135.0,0.0
Steve White,Amityville: Dollhouse,1996-10-02,0,0.0,0.0
John Murlowski,Amityville: A New Generation,1993-09-29,1500000,0.0,0.0
Damiano Damiani,Amityville II: The Possession,1982-09-24,0,12534817.0,0.0
Stuart Rosenberg,The Amityville Horror,1979-07-27,0,86432000.0,0.0
Tom Bery,The Amityville Curse,1989-12-01,0,0.0,0.0
Paul Morrissey,Blood for Dracula,1974-08-13,0,0.0,0.0
Fred Walton,April Fool's Day,1986-03-27,5000000,0.0,0.0
Robert Wise,Audrey Rose,1977-04-06,0,0.0,0.0
John Schlesinger,The Believers,1987-06-09,0,18753438.0,0.0
Alfred Hitchcock,The Birds,1963-03-28,2500000,11403529.0,4.56
Irvin S. Yeaworth Jr.,The Blob,1958-09-12,240000,0.0,0.0
Jeffrey Bloom,Blood Beach,1980-09-01,2000000,0.0,0.0
Eric Red,Body Parts,1991-08-02,0,0.0,0.0
Robert Wise,The Body Snatcher,1945-05-25,0,0.0,0.0
Francis Ford Coppola,Dracula,1992-11-13,40000000,215862692.0,5.4
James Whale,Bride of Frankenstein,1935-04-21,393750,0.0,0.0
Dan Curtis,Burnt Offerings,1976-10-18,0,0.0,0.0
Bernard Rose,Candyman,1992-10-16,6000000,25792310.0,4.3
Martin Scorsese,Cape Fear,1991-11-15,35000000,182300000.0,5.21
J. Lee Thompson,Cape Fear,1962-04-12,0,0.0,0.0
Brian De Palma,Carrie,1976-11-03,1800000,33800000.0,18.78
Paul Schrader,Cat People,1982-04-02,0,0.0,0.0
Wes Craven,A Nightmare on Elm Street,1984-11-14,1800000,25504513.0,14.17
F.W. Murnau,Nosferatu,1922-03-15,0,0.0,0.0
"Augusto Caminito, Mario Caiano, Luigi Cozzi, Klaus Kinski, Maurizio Lucidi",Vampire in Venice,1988-09-15,0,0.0,0.0
Richard Donner,The Omen,1976-06-06,2800000,60922980.0,21.76
Bob Rafelson,Blood and Wine,1996-10-03,26000000,0.0,0.0
Kevin Spacey,Albino Alligator,1996-09-09,6000000,0.0,0.0
Barbra Streisand,The Mirror Has Two Faces,1996-11-15,42000000,0.0,0.0
Lars von Trier,Breaking the Waves,1996-05-13,0,3803298.0,0.0
Ole Bornedal,Nightwatch,1997-01-31,0,1179002.0,0.0
Jonathan Frakes,Star Trek: First Contact,1996-11-21,46000000,150000000.0,3.26
Scott Hicks,Shine,1996-01-21,0,0.0,0.0
Billy Bob Thornton,Sling Blade,1996-08-30,1000000,24444121.0,24.44
Brian Levant,Jingle All the Way,1996-11-15,60000000,129832389.0,2.16
Michelangelo Antonioni,Identification of a Woman,1982-10-21,0,0.0,0.0
"Joe Berlinger, Bruce Sinofsky",Paradise Lost: The Child Murders at Robin Hood Hills,1996-12-03,0,0.0,0.0
Penny Marshall,The Preacher's Wife,1996-12-13,40000000,48093211.0,1.2
Hans Petter Moland,Zero Kelvin,1995-09-29,2535000,0.0,0.0
Patrice Leconte,Ridicule,1996-05-09,3000000,2503829.0,0.83
Nicholas Hytner,The Crucible,1996-11-27,25000000,0.0,0.0
Stephen Herek,101 Dalmatians,1996-11-17,54000000,320689294.0,5.94
Curzio Malaparte,The Forbidden Christ,1951-06-08,0,0.0,0.0
Claire Denis,I Can't Sleep,1994-05-18,0,0.0,0.0
Renny Harlin,Die Hard 2,1990-07-02,70000000,240031094.0,3.43
Robert Wise,Star Trek: The Motion Picture,1979-12-06,35000000,139000000.0,3.97
Nicholas Meyer,Star Trek VI: The Undiscovered Country,1991-12-05,27000000,96900000.0,3.59
William Shatner,Star Trek V: The Final Frontier,1989-06-09,30000000,70200000.0,2.34
Nicholas Meyer,Star Trek II: The Wrath of Khan,1982-06-03,12000000,96800000.0,8.07
Leonard Nimoy,Star Trek III: The Search for Spock,1984-05-31,18000000,87000000.0,4.83
Leonard Nimoy,Star Trek IV: The Voyage Home,1986-11-25,24000000,133000000.0,5.54
Tim Burton,Batman Returns,1992-06-19,80000000,280000000.0,3.5
Christopher Cain,Young Guns,1988-08-12,13000000,44726644.0,3.44
Geoff Murphy,Young Guns II,1990-08-01,20000000,0.0,0.0
Randal Kleiser,Grease,1978-07-07,6000000,181813770.0,30.3
Patricia Birch,Grease 2,1982-06-11,13200000,15171476.0,1.15
Dwight H. Little,Marked for Death,1990-10-05,12000000,46044400.0,3.84
Albert Pyun,Adrenalin: Fear the Rush,1996-11-29,0,0.0,0.0
Daniel J. Sullivan,The Substance of Fire,1996-09-11,0,0.0,0.0
Andrew Davis,Under Siege,1992-10-08,35000000,156563139.0,4.47
Joseph H. Lewis,Terror in a Texas Town,1958-09-01,0,0.0,0.0
Steven Spielberg,Jaws,1975-06-18,7000000,470654000.0,67.24
Jeannot Szwarc,Jaws 2,1978-06-16,20000000,187884007.0,9.39
Joe Alves,Jaws 3-D,1983-03-16,20500000,87987055.0,4.29
Peter Segal,My Fellow Americans,1996-12-20,0,0.0,0.0
Tim Burton,Mars Attacks!,1996-12-12,70000000,101371017.0,1.45
Alexander Payne,Citizen Ruth,1996-12-13,3000000,153155.0,0.05
Cameron Crowe,Jerry Maguire,1996-12-06,50000000,273552592.0,5.47
"Joel Coen, Ethan Coen",Raising Arizona,1987-03-01,6000000,29180280.0,4.86
Barry Levinson,Tin Men,1987-03-06,0,0.0,0.0
Phil Alden Robinson,Sneakers,1992-09-09,0,105232691.0,0.0
Anjelica Huston,Bastard Out of Carolina,1996-12-15,0,0.0,0.0
Richard Attenborough,In Love and War,1996-12-18,0,0.0,0.0
Jerry Zaks,Marvin's Room,1996-12-18,23000000,12803305.0,0.56
Martin Donovan,Somebody Is Waiting,1996-12-19,0,0.0,0.0
Rob Reiner,Ghosts of Mississippi,1996-12-20,0,0.0,0.0
Sidney Lumet,Night Falls on Manhattan,1996-10-22,0,0.0,0.0
Mike Judge,Beavis and Butt-Head Do America,1996-12-15,12000000,0.0,0.0
Claude Chabrol,La Cérémonie,1995-08-30,0,0.0,0.0
Wes Craven,Scream,1996-12-20,14000000,173046663.0,12.36
Michael Mann,The Last of the Mohicans,1992-09-25,40000000,75505856.0,1.89
Nora Ephron,Michael,1996-12-25,0,119718203.0,0.0
Robert Harling,The Evening Star,1996-12-25,0,0.0,0.0
Kenneth Branagh,Hamlet,1996-12-25,0,0.0,0.0
Terry George,Some Mother's Son,1996-12-25,0,0.0,0.0
Dan Ireland,The Whole Wide World,1996-12-20,1300000,0.0,0.0
Albert Brooks,Mother,1996-12-25,0,0.0,0.0
André Téchiné,Thieves,1996-08-21,0,0.0,0.0
Alan Parker,Evita,1996-12-14,55000000,141047179.0,2.56
Jane Campion,The Portrait of a Lady,1996-10-18,0,3692836.0,0.0
Nicolas Roeg,Walkabout,1971-07-01,0,0.0,0.0
Murray Lerner,Message to Love: The Isle of Wight Festival,1996-02-15,0,0.0,0.0
Dwight H. Little,Murder at 1600,1997-04-18,0,25804707.0,0.0
Ralph Ziman,Hearts and Minds,1995-08-29,500000,0.0,0.0
Arthur Penn,Inside,1996-08-25,0,0.0,0.0
"Fred Schepisi, Robert Young",Fierce Creatures,1997-01-24,0,9381260.0,0.0
George T. Miller,Zeus & Roxanne,1997-01-24,0,0.0,0.0
Robert Butler,Turbulence,1997-01-09,55000000,11466088.0,0.21
Michael Rymer,Angel Baby,1995-09-09,0,0.0,0.0
Stanley Tong,First Strike,1996-02-10,0,21890845.0,0.0
Roger Christian,Underworld,1996-06-01,0,0.0,0.0
Dennis Dugan,Beverly Hills Ninja,1997-01-17,0,0.0,0.0
Thomas Carter,Metro,1997-01-16,55000000,31987563.0,0.58
François Dupeyron,The Machine,1994-05-28,0,0.0,0.0
Steven Paul,Falling in Love Again,1980-11-21,0,0.0,0.0
Andrew Birkin,The Cement Garden,1993-02-20,0,322975.0,0.0
Roger Donaldson,Dante's Peak,1997-02-07,116000000,178127760.0,1.54
Peter Baldwin,Meet Wally Sparks,1997-01-01,0,0.0,0.0
E. Max Frye,Amos & Andrew,1993-03-05,0,0.0,0.0
Jeremiah S. Chechik,Benny & Joon,1993-04-16,0,23202734.0,0.0
Steve James,Prefontaine,1997-01-24,8000000,589304.0,0.07
Stefan Schwietert,A Tickle in the Heart,1996-11-21,0,0.0,0.0
"Tomás Gutiérrez Alea, Juan Carlos Tabío",Guantanamera,1995-01-01,0,0.0,0.0
Bryan Spicer,McHale's Navy,1997-04-18,0,4529843.0,0.0
Jan Svěrák,Kolya,1996-05-05,0,5770254.0,0.0
Vondie Curtis-Hall,Gridlock'd,1997-01-29,0,0.0,0.0
Christopher Guest,Waiting for Guffman,1996-01-31,0,0.0,0.0
Sergei Bodrov Jr.,Prisoner of the Mountains,1996-03-15,0,0.0,0.0
Ken Kwapis,The Beautician and the Beast,1997-02-07,16000000,0.0,0.0
Richard Linklater,SubUrbia,1996-02-07,0,656747.0,0.0
Craig Rosenberg,Hotel de Love,1996-12-19,0,0.0,0.0
R. Paul Miller,The Pest,1997-02-07,17000000,0.0,0.0
Andy Tennant,Fools Rush In,1997-02-14,0,29481428.0,0.0
Paul Schrader,Touch,1997-02-14,0,0.0,0.0
Clint Eastwood,Absolute Power,1997-02-14,50000000,50068310.0,1.0
Bob Spiers,That Darn Cat,1997-02-14,0,0.0,0.0
Stephen Kessler,Vegas Vacation,1997-02-13,25000000,36400360.0,1.46
Carl Reiner,That Old Feeling,1997-04-04,0,0.0,0.0
David Lynch,Lost Highway,1997-01-15,15000000,3675201.0,0.25
John Singleton,Rosewood,1997-02-21,30000000,13130349.0,0.44
Mike Newell,Donnie Brasco,1997-02-27,35000000,41954997.0,1.2
Merzak Allouache,Salut cousin !,1996-11-20,0,0.0,0.0
Jeff Pollack,Booty Call,1997-02-26,0,20060051.0,0.0
Peter Spirer,Rhyme & Reason,1997-03-04,0,0.0,0.0
"Mark Christopher, Peggy Rajski, Nickolas Perry, Tom DeCerchio",Boys Life 2,1997-03-07,0,532654.0,0.0
John Irvin,City of Industry,1997-03-14,8000000,0.0,0.0
Tamra Davis,Best Men,1997-01-01,1000000,0.0,0.0
John Pasquin,Jungle 2 Jungle,1997-03-07,0,0.0,0.0
Mira Nair,Kama Sutra - A Tale of Love,1996-09-11,3000000,4109095.0,1.37
Betty Thomas,Private Parts,1997-03-07,28000000,41230799.0,1.47
Theodore Witcher,Love Jones,1997-03-14,10000000,0.0,0.0
Phillip Noyce,The Saint,1997-04-03,68000000,118063304.0,1.74
Bille August,Smilla's Sense of Snow,1997-02-13,35000000,0.0,0.0
Stephen Frears,The Van,1996-05-11,0,0.0,0.0
David Cronenberg,Crash,1996-07-17,10000000,0.0,0.0
Greg Mottola,The Daytrippers,1996-01-01,0,0.0,0.0
Tom Shadyac,Liar Liar,1997-03-21,45000000,302710615.0,6.73
Rolf de Heer,The Quiet Room,1996-03-21,0,0.0,0.0
Gregory Nava,Selena,1997-03-21,20000000,60000000.0,3.0
Alan J. Pakula,The Devil's Own,1997-03-12,90000000,140807547.0,1.56
Mark Dindal,Cats Don't Dance,1997-03-26,32000000,3566637.0,0.11
Robert Townsend,B.A.P.S.,1997-03-28,0,7240837.0,0.0
Emma-Kate Croghan,Love and Other Catastrophes,1996-08-01,0,0.0,0.0
"Shuki Levy, David Winning",Turbo: A Power Rangers Movie,1997-03-27,10000000,17979739.0,1.8
Bernard Rose,Anna Karenina,1997-04-04,35000000,791830.0,0.02
Tsui Hark,Double Team,1997-04-04,30000000,0.0,0.0
Pat O'Connor,Inventing the Abbotts,1997-04-04,0,5926128.0,0.0
Luis Llosa,Anaconda,1997-04-11,45000000,136885767.0,3.04
George Armitage,Grosse Pointe Blank,1997-04-11,0,28084357.0,0.0
Leslie Greif,Keys to Tulsa,1997-04-11,0,57252.0,0.0
Lynne Stopkewich,Kissed,1996-09-07,0,0.0,0.0
Tom Schulman,8 Heads in a Duffel Bag,1997-04-18,0,0.0,0.0
Angela Pope,Hollow Reed,1996-06-24,0,0.0,0.0
Bruce Beresford,Paradise Road,1997-04-11,16000000,0.0,0.0
Jack Green,Traveller,1997-04-18,0,0.0,0.0
Alex Sichel,All Over Me,1997-02-15,0,0.0,0.0
Seth Zvi Rosenfeld,A Brother's Kiss,1997-04-25,0,0.0,0.0
Nana Dzhordzhadze,A Chef in Love,1996-06-06,0,0.0,0.0
David Mirkin,Romy and Michele's High School Reunion,1997-04-25,0,29235353.0,0.0
Chen Kaige,Temptress Moon,1996-05-09,0,0.0,0.0
Mick Jackson,Volcano,1997-04-25,90000000,0.0,0.0
Peter Duncan,Children of the Revolution,1996-06-14,0,0.0,0.0
Jay Roach,Austin Powers: International Man of Mystery,1997-05-02,16500000,67683989.0,4.1
Jonathan Mostow,Breakdown,1997-05-02,36000000,50159144.0,1.39
Gregor Nicholas,Broken English,1996-09-09,0,0.0,0.0
Daniel Taplitz,Commandments,1997-05-02,0,0.0,0.0
Mo Ogrodnik,Ripe,1996-09-10,0,0.0,0.0
Kiefer Sutherland,"Truth or Consequences, N.M.",1997-01-01,0,0.0,0.0
L.A. Puopolo,The Turning,1992-01-01,0,0.0,0.0
Ronny Yu,Warriors of Virtue,1997-05-02,0,0.0,0.0
Ivan Reitman,Fathers' Day,1997-05-09,85000000,0.0,0.0
Luc Besson,The Fifth Element,1997-05-07,90000000,263920180.0,2.93
Gregg Araki,Nowhere,1997-05-09,0,27354.0,0.0
Kevin Bacon,Losing Chase,1996-08-18,0,0.0,0.0
Rusty Cundieff,Sprung,1997-05-14,0,7553105.0,0.0
Agnès Varda,Le Bonheur,1965-02-10,0,0.0,0.0
Joe Mantello,Love! Valour! Compassion!,1997-05-16,2000000,2900000.0,1.45
Masayuki Suo,Shall We Dance?,1996-01-27,0,0.0,0.0
"Dee McLachlan, Duncan McLachlan",The Second Jungle Book: Mowgli & Baloo,1997-05-16,0,479099.0,0.0
Kevin Allen,Twin Town,1997-04-11,0,0.0,0.0
Griffin Dunne,Addicted to Love,1997-05-23,0,34673095.0,0.0
Mark Herman,Brassed Off,1996-11-01,0,0.0,0.0
David Hare,The Designated Mourner,1997-05-23,0,0.0,0.0
Steven Spielberg,The Lost World: Jurassic Park,1997-05-23,73000000,229074524.0,3.14
Jacques Doillon,Ponette,1996-09-10,0,0.0,0.0
Steven Soderbergh,Schizopolis,1996-09-13,0,0.0,0.0
Dale Rosenbloom,Shiloh,1996-11-30,0,0.0,0.0
Emilio Estevez,The War at Home,1996-11-20,0,0.0,0.0
Clare Peploe,Rough Magic,1995-09-07,0,0.0,0.0
Jonathan Lynn,Trial and Error,1997-05-30,0,0.0,0.0
Caroline Thompson,Buddy,1997-06-06,0,0.0,0.0
Simon West,Con Air,1997-06-01,75000000,224012234.0,2.99
Julia Dyer,Late Bloomers,1996-01-01,0,0.0,0.0
Peter Greenaway,The Pillow Book,1996-05-12,0,0.0,0.0
Laetitia Masson,To Have (Or Not),1995-12-27,0,0.0,0.0
Jan de Bont,Speed 2: Cruise Control,1997-06-13,160000000,164508066.0,1.03
Robert Patton-Spruill,Squeeze,1997-06-06,500000,10300.0,0.02
Adrienne Shelly,Sudden Manhattan,1996-10-11,0,0.0,0.0
Dana Lustig,Wedding Bell Blues,1996-10-18,0,44000.0,0.0
Joel Schumacher,Batman & Robin,1997-06-20,125000000,238207122.0,1.91
Paul Weiland,Roseanna's Grave,1997-03-06,0,0.0,0.0
Jim Wilson,Head Above Water,1996-11-07,0,0.0,0.0
"Ron Clements, John Musker",Hercules,1997-06-26,85000000,252712101.0,2.97
Stephen T. Kay,The Last Time I Committed Suicide,1997-06-20,0,0.0,0.0
Yvonne Rainer,MURDER and murder,1996-09-10,0,0.0,0.0
P.J. Hogan,My Best Friend's Wedding,1997-06-19,38000000,299288605.0,7.88
Shinya Tsukamoto,Tetsuo II: Body Hammer,1992-01-01,0,0.0,0.0
Cédric Klapisch,When the Cat's Away,1996-04-03,0,0.0,0.0
Jean-Luc Godard,Contempt,1963-10-21,900000,528428.0,0.59
John Woo,Face/Off,1997-06-27,80000000,245676146.0,3.07
Eric Schaeffer,Fall,1997-06-20,0,0.0,0.0
Mohsen Makhmalbaf,Gabbeh,1996-06-26,0,0.0,0.0
Tony Gatlif,Mondo,1995-06-01,0,0.0,0.0
Scott Michell,The Innocent Sleep,1996-01-25,0,0.0,0.0
Jean-Luc Godard,For Ever Mozart,1996-11-27,0,0.0,0.0
Barry Sonnenfeld,Men in Black,1997-07-02,90000000,589390539.0,6.55
Martha Coolidge,Out to Sea,1997-07-02,0,0.0,0.0
William Dear,Wild America,1997-07-02,0,0.0,0.0
Michael Ritchie,A Simple Wish,1997-07-11,28000000,8345056.0,0.3
Robert Zemeckis,Contact,1997-07-11,90000000,171120329.0,1.9
Shirley Barrett,Love Serenade,1996-10-10,0,0.0,0.0
Ridley Scott,G.I. Jane,1997-08-22,50000000,48169156.0,0.96
John Milius,Conan the Barbarian,1982-04-02,20000000,79114085.0,3.96
Sam Weisman,George of the Jungle,1997-07-15,55000000,0.0,0.0
James Mangold,Cop Land,1997-08-15,15000000,44862187.0,2.99
Paul W.S. Anderson,Event Horizon,1997-08-15,60000000,26673242.0,0.44
Mark A.Z. Dippé,Spawn,1997-07-31,40000000,87840042.0,2.2
Charles Martin Smith,Air Bud,1997-08-01,3000000,23144499.0,7.71
Glenn Gordon Caron,Picture Perfect,1997-08-01,19000000,44332015.0,2.33
Neil LaBute,In the Company of Men,1997-01-19,0,0.0,0.0
Sam Pillsbury,Free Willy 3: The Rescue,1997-08-08,0,0.0,0.0
Mike Leigh,Career Girls,1997-06-01,0,0.0,0.0
Richard Donner,Conspiracy Theory,1997-08-07,75000000,136982834.0,1.83
Barbet Schroeder,Desperate Measures,1998-01-30,50000000,0.0,0.0
Kenneth Johnson,Steel,1997-08-15,16000000,1686429.0,0.11
Nick Cassavetes,She's So Lovely,1997-08-29,18000000,0.0,0.0
Bill Duke,Hoodlum,1997-08-27,30000000,0.0,0.0
Andy Cadiff,Leave it to Beaver,1997-08-22,0,0.0,0.0
Guillermo del Toro,Mimic,1997-08-22,30000000,25480490.0,0.85
Brett Ratner,Money Talks,1997-08-22,0,0.0,0.0
Marco Brambilla,Excess Baggage,1997-08-29,0,0.0,0.0
John Nicolella,Kull the Conqueror,1997-08-29,0,0.0,0.0
Wolfgang Petersen,Air Force One,1997-07-25,85000000,315156409.0,3.71
Kevin Reynolds,One Eight Seven,1997-07-29,20000000,5716080.0,0.29
John McTiernan,The Hunt for Red October,1990-03-02,30000000,199200000.0,6.64
Gus Van Sant,My Own Private Idaho,1991-10-17,2500000,0.0,0.0
Tony Vitale,"Kiss Me, Guido",1997-07-18,0,0.0,0.0
Miguel Arteta,Star Maps,1997-07-23,0,0.0,0.0
Frank Oz,In & Out,1997-09-10,35000000,0.0,0.0
Lee Tamahori,The Edge,1997-09-06,0,43312294.0,0.0
Mimi Leder,The Peacemaker,1997-09-26,50000000,0.0,0.0
Curtis Hanson,L.A. Confidential,1997-09-19,35000000,126216940.0,3.61
Jean-Jacques Annaud,Seven Years in Tibet,1997-09-12,70000000,131457682.0,1.88
Gary Fleder,Kiss the Girls,1997-10-03,27000000,60527873.0,2.24
"George Tillman, Jr.",Soul Food,1997-09-26,0,0.0,0.0
Matthew Harrison,Kicked in the Head,1997-09-26,0,0.0,0.0
Robert Kurtzman,Wishmaster,1997-09-19,5000000,15719109.0,3.14
Jocelyn Moorhouse,A Thousand Acres,1997-09-17,0,0.0,0.0
David Fincher,The Game,1997-09-12,50000000,109423648.0,2.19
Félix Enríquez Alcalá,Fire Down Below,1997-09-05,60000000,16000000.0,0.27
Oliver Stone,U Turn,1997-10-03,19000000,6682098.0,0.35
John Patrick Kelley,The Locusts,1997-10-03,0,10082.0,0.0
Mark Joffe,The Matchmaker,1997-10-03,0,0.0,0.0
Christian Duguay,The Assignment,1997-09-28,0,0.0,0.0
Keith Samples,A Smile Like Yours,1997-08-27,0,0.0,0.0
Victor Nunez,Ulee's Gold,1997-06-13,0,0.0,0.0
Ang Lee,The Ice Storm,1997-09-27,18000000,8038061.0,0.45
Gavin Wilding,Stag,1997-04-01,0,0.0,0.0
Kevin Smith,Chasing Amy,1997-04-04,250000,12021272.0,48.09
Lionel C. Martin,Def Jam's How to Be a Player,1997-08-06,0,13960203.0,0.0
Peter Cattaneo,The Full Monty,1997-08-13,3500000,257850122.0,73.67
Nancy Meckler,Alive and Kicking,1996-11-08,0,0.0,0.0
John Madden,Mrs Brown,1997-07-18,0,0.0,0.0
Jim Gillespie,I Know What You Did Last Summer,1997-10-17,17000000,125586134.0,7.39
Taylor Hackford,The Devil's Advocate,1997-10-17,57000000,152944660.0,2.68
Stuart Gillard,RocketMan,1997-10-10,16000000,0.0,0.0
Andy Wilson,Playing God,1997-10-17,12000000,4000000.0,0.33
Mark Waters,The House of Yes,1997-10-10,1500000,626057.0,0.42
Errol Morris,"Fast, Cheap & Out of Control",1997-10-03,0,832735.0,0.0
Agnieszka Holland,Washington Square,1997-10-10,0,1.0,0.0
Guy Ferland,Telling Lies In America,1997-08-02,0,0.0,0.0
Jim Jarmusch,Year of the Horse,1997-10-08,0,0.0,0.0
Andrew Niccol,Gattaca,1997-09-07,36000000,12532777.0,0.35
Charles Sturridge,FairyTale: A True Story,1997-01-01,0,14000000.0,0.0
Joe Chappelle,Phantoms,1998-01-23,0,5624282.0,0.0
Beeban Kidron,Swept from the Sea,1998-01-23,0,0.0,0.0
John O'Hagan,Wonderland,1997-10-17,0,0.0,0.0
Danny Boyle,A Life Less Ordinary,1997-10-24,12000000,0.0,0.0
Morgan J. Freeman,Hurricane Streets,1997-01-21,0,0.0,0.0
Kasi Lemmons,Eve's Bayou,1997-09-07,0,0.0,0.0
Jeb Stuart,Switchback,1997-10-31,37000000,6482195.0,0.18
Jim Kouf,Gang Related,1997-10-08,0,5790448.0,0.0
Ivan Reitman,Stripes,1981-06-25,10000000,85300000.0,8.53
Claire Denis,Nenette and Boni,1997-01-29,0,0.0,0.0
Mel Smith,Bean,1997-07-03,18000000,251212670.0,13.96
Robert Downey Sr.,Hugo Pool,1997-01-01,0,0.0,0.0
Costa-Gavras,Mad City,1997-11-07,50000000,10541523.0,0.21
Mike Figgis,One Night Stand,1997-11-14,24000000,2642983.0,0.11
Sally Potter,The Tango Lesson,1997-11-28,0,0.0,0.0
Michael Winterbottom,Welcome to Sarajevo,1997-05-09,0,0.0,0.0
"Josh Pate, Jonas Pate",Deceiver,1997-08-31,0,0.0,0.0
Francis Ford Coppola,The Rainmaker,1997-11-18,40000000,45916769.0,1.15
Paul Thomas Anderson,Boogie Nights,1997-09-11,15000000,43101594.0,2.87
Peter Weir,Witness,1985-02-08,12000000,68706993.0,5.73
John Badham,Incognito,1997-11-14,0,0.0,0.0
Paul Verhoeven,Starship Troopers,1997-11-06,105000000,121214377.0,1.15
Sidney Lumet,Critical Care,1997-10-31,0,0.0,0.0
Wayne Wang,The Joy Luck Club,1993-09-08,11000000,32861136.0,2.99
Alex Zamm,Chairman of the Board,1998-03-13,0,0.0,0.0
Peter Howitt,Sliding Doors,1998-04-23,6000000,58000000.0,9.67
John R. Leonetti,Mortal Kombat: Annihilation,1997-11-21,30000000,51376861.0,1.71
Peter Weir,The Truman Show,1998-06-04,60000000,264118201.0,4.4
Iain Softley,The Wings of the Dove,1997-11-07,0,0.0,0.0
Marleen Gorris,Mrs. Dalloway,1997-09-01,0,3309421.0,0.0
Billy Hopkins,"I Love You, I Love You Not",1996-08-28,0,0.0,0.0
Jon Avnet,Red Corner,1997-10-30,48000000,0.0,0.0
Michael Caton-Jones,The Jackal,1997-11-14,60000000,159330280.0,2.66
"Gary Goldman, Don Bluth",Anastasia,1997-11-20,53000000,139804348.0,2.64
Jon Amiel,The Man Who Knew Too Little,1997-11-14,20000000,13801755.0,0.69
Jean-Pierre Jeunet,Alien: Resurrection,1997-11-12,70000000,162000000.0,2.31
Scott Harris,Alien Escape,1996-01-01,1000000,0.0,0.0
Steven Spielberg,Amistad,1997-12-03,36000000,74000000.0,2.06
Robert Duvall,The Apostle,1997-10-09,5000000,0.0,0.0
Agnès Merlet,Artemisia,1997-09-10,0,0.0,0.0
Sean Mathias,Bent,1997-11-26,0,0.0,0.0
Ash Baron-Cohen,Bang,1995-09-09,0,0.0,0.0
Louis Saïa,The Boys,1997-12-12,0,0.0,0.0
Neil Jordan,The Butcher Boy,1997-07-13,0,0.0,0.0
Woody Allen,Deconstructing Harry,1997-08-26,20000000,10686841.0,0.53
Les Mayfield,Flubber,1997-11-26,80000000,177977226.0,2.22
Bryan Spicer,For Richer or Poorer,1997-12-11,35000000,31611225.0,0.9
Gus Van Sant,Good Will Hunting,1997-12-05,10000000,225933435.0,22.59
Michael Lindsay-Hogg,Guy,1997-12-17,0,0.0,0.0
Raja Gosnell,Home Alone 3,1997-12-12,32000000,79082515.0,2.47
Martin Kitrosser,Man of Her Dreams,1997-11-18,0,0.0,0.0
Clint Eastwood,Midnight in the Garden of Good and Evil,1997-11-21,35000000,25105255.0,0.72
Gore Verbinski,MouseHunt,1997-12-19,38000000,122417389.0,3.22
Cindy Sherman,Office Killer,1997-01-01,0,0.0,0.0
Wes Craven,Scream 2,1997-12-09,24000000,172363301.0,7.18
Rodney Gibbons,Stranger in the House,1997-01-01,0,0.0,0.0
Atom Egoyan,The Sweet Hereafter,1997-05-14,5000000,3263585.0,0.65
Bret McCormick,Time Tracers,1997-12-16,0,0.0,0.0
James Cameron,Titanic,1997-11-18,200000000,1845034188.0,9.23
Roger Spottiswoode,Tomorrow Never Dies,1997-12-11,110000000,333011068.0,3.03
Seth Michael Donsky,Twisted,1996-11-14,0,0.0,0.0
Gaël Morel,Full Speed,1996-09-25,0,0.0,0.0
Richard Friedenberg,The Education of Little Tree,1997-12-25,0,0.0,0.0
Kevin Costner,The Postman,1997-12-25,80000000,17626234.0,0.22
Robert Redford,The Horse Whisperer,1998-05-14,60000000,186883563.0,3.11
Alan Rickman,The Winter Guest,1997-12-27,0,0.0,0.0
Quentin Tarantino,Jackie Brown,1997-12-24,12000000,39673162.0,3.31
Martin Scorsese,Kundun,1997-12-25,28000000,5684789.0,0.2
Stanley Tong,Mr. Magoo,1997-12-25,30000000,0.0,0.0
Joel Coen,The Big Lebowski,1998-03-06,15000000,46189568.0,3.08
Alan Rudolph,Afterglow,1997-12-26,0,2465960.0,0.0
Alain Berliner,My Life in Pink,1997-05-28,0,0.0,0.0
Alfonso Cuarón,Great Expectations,1998-01-19,25000000,55494066.0,2.22
Sean McNamara,3 Ninjas: High Noon at Mega Mountain,1998-04-10,0,0.0,0.0
George Mendeluk,Men of Means,1999-05-25,0,0.0,0.0
Darin Scott,Caught Up,1998-02-27,0,0.0,0.0
Joseph Dorman,Arguing the World,1998-01-07,0,0.0,0.0
Dean Semler,Firestorm,1998-01-08,19000000,0.0,0.0
